date,Avila Adobe,Firehouse Museum,Chinese American Museum,America Tropical Interpretive Center
20140101,24778,4486,1581,6602
20140201,18976,4172,1785,5029
20140301,25231,7082,3229,8129
20140401,26989,6756,2129,2824
20140501,36883,10858,3676,10694
20140601,29487,5751,2121,11036
20140701,32378,5406,2239,13490
20140801,37680,8619,1769,9139
20140901,28473,61192,1073,5661
20141001,27995,6488,1979,7356
20141101,25691,4189,2404,9773
20141201,18754,4339,1319,7184
20150101,20438,3858,1823,6250
20150201,15578,3742,1558,5907
20150301,21297,5390,2336,9884
20150401,26670,7000,3057,7254
20150501,34383,12528,4009,13207
20150601,30569,5377,2544,11102
20150701,41242,6111,3057,11072
20150801,30700,5383,2415,12096
20150901,20967,5746,1398,6608
20151001,29764,8882,2237,12524
20151101,24483,6848,2850,6677
20151201,21426,4502,2075,5967
20160101,19659,4377,2150,6587
20160201,17378,3675,2547,6955
20160301,20322,6334,7702,9979
20160401,24521,6509,3485,5113
20160501,31728,9315,4565,7757
20160601,23696,4918,3034,6751
20160701,31689,5602,2776,12188
20160801,25987,5181,2153,6245
20160901,22897,4736,1754,6977
20161001,25040,6145,2607,6282
20161101,17760,3930,2248,6365
20161201,20107,3911,2263,5223
20170101,18792,3551,2531,4929
20170201,14035,3491,2139,4493
20170301,20680,5273,5966,6271
20170401,25234,5320,3273,6685
20170501,30029,8733,5585,7556
20170601,22169,4862,2946,6818
20170701,30831,5242,2939,8675
20170801,27009,5379,1784,6212
20170901,23403,4484,1704,4607
20171001,22164,4822,2419,6097
20171101,17629,4613,2685,6757
20171201,18339,4448,2768,6780
20180101,16265,3910,2477,5837
20180201,14718,3306,2710,5705
20180301,19001,5225,4529,4909
20180401,18966,4535,2750,4650
20180501,25173,8013,4960,5626
20180601,22171,4635,2518,4694
20180701,23136,4191,2620,4718
20180801,20815,4866,2409,3891
20180901,21020,4956,2146,3180
20181001,19280,4622,2364,3775
20181101,17163,4082,2385,8999
